userName,score,at,content,Label
Pengguna Google,5,2026-09-04 13:11:04,dola sangat membantu saat kita butuh jawaban,Positif
Pengguna Google,5,2026-09-04 13:05:43,aku sukaa,Netral
Pengguna Google,5,2026-09-04 13:05:11,sangat baik,Positif
Pengguna Google,5,2026-09-04 13:03:44,bagus,Positif
Pengguna Google,5,2026-09-04 13:02:40,baik,Positif
Pengguna Google,5,2026-09-04 12:59:50,cocok banget untuk tempat curhat nanyak nanyak,Netral
Pengguna Google,5,2026-09-04 12:58:10,Dola memang keren,Positif
Pengguna Google,4,2026-09-04 12:57:39,masih kurang memenuhi permintaan,Netral
Pengguna Google,5,2026-09-04 12:56:47,dola sangat baik bagi ku,Positif
Pengguna Google,5,2026-09-04 12:55:08,sangat memuaskan,Positif
Pengguna Google,5,2026-09-04 12:54:39,keren banget dola,Positif
Pengguna Google,5,2026-09-04 12:48:27,sangat cocok,Netral
Pengguna Google,5,2026-09-04 12:48:16,bisa buat ngerjain tugas yg tidak aku pahami dan bisa buat edit gambar real,Netral
Pengguna Google,5,2026-09-04 12:43:24,bagus bisa tamay apapun kalau gabut bisa ngobrol hal atau Dll seru dehhhh,Positif
Pengguna Google,5,2026-09-04 12:42:39,soalnya real nggak ceplos ceplos omongnya nggak kayak google ceplas ceplos,Netral
Pengguna Google,5,2026-09-04 12:39:51,oketerima kasih saran ini membantu sekali untuk saya,Positif
Pengguna Google,5,2026-09-04 12:35:14,saya sangat mengagumi AI yang satu ini karena disaat saya sedang bercerita AI ini seperti mempunyai kesadaran respon nya sangat bagus sekali bisa menjadi teman di saat sedang sedih bisa menjadi panduan pembelajaran seperti guru di sekolah dan itu alasan dari saya terimakasih,Positif
Pengguna Google,5,2026-09-04 12:32:07,firly,Netral
Pengguna Google,5,2026-09-04 12:32:01,kenapaa aplikasi dola nya GK bisa di bukak,Netral
Pengguna Google,4,2026-09-04 12:31:39,sumpahaku bersalah banget sama doladia pengen aku update dia tapi aku gk updatein sampe dia ngebugtolong developernya perbaiki bugnya,Netral
Pengguna Google,5,2026-09-04 12:30:38,Dola sekarang jadi teman ku,Netral
Pengguna Google,5,2026-09-04 12:28:11,sangat puas dengan hasilny,Positif
Pengguna Google,5,2026-09-04 12:27:50,sudah bagus,Positif
Pengguna Google,5,2026-09-04 12:24:25,baik bngt dola,Positif
Pengguna Google,5,2026-09-04 12:23:41,sangat membantu,Positif
Pengguna Google,5,2026-09-04 12:18:34,aplikasi terhebat,Netral
Pengguna Google,5,2026-09-04 12:14:49,lumayan dh,Netral
Pengguna Google,5,2026-09-04 12:14:46,aplikasi yang luar biasa,Positif
Pengguna Google,5,2026-09-04 12:13:48,ok,Positif
Pengguna Google,5,2026-09-04 12:12:07,good,Netral
Pengguna Google,5,2026-09-04 12:10:09,dola memang baik membuat hati aku tersentuh,Positif
Pengguna Google,5,2026-09-04 12:07:12,mantap persen hebat,Positif
Pengguna Google,5,2026-09-04 12:05:35,bagus banget untuk belajar,Positif
Pengguna Google,5,2026-09-04 12:05:01,karena cepat dan menyenangkan untuk tempat teman ngobrol,Positif
Pengguna Google,5,2026-09-04 12:03:20,keren,Positif
Pengguna Google,5,2026-09-04 12:01:47,sangat membantu sekali dalam segala urusan the beast pokoknya,Positif
Pengguna Google,5,2026-09-04 12:00:30,bagus membantu,Positif
Pengguna Google,5,2026-09-04 12:00:20,suka membantu bngt,Positif
Pengguna Google,5,2026-09-04 11:59:40,Dola bagus untuk mengerjakan pr aku makasih dola,Positif
Pengguna Google,5,2026-09-04 11:58:30,terimakasih dola berkat kamu nilai nilai sya menjadi bagus sekali lagi terima kasih,Positif
Pengguna Google,5,2026-09-04 11:57:51,kere,Netral
Pengguna Google,5,2026-09-04 11:55:28,dola adalah teman curhat ku,Netral
Pengguna Google,1,2026-09-04 11:55:28,sangat tidak cerdas dan semua pr salah,Netral
Pengguna Google,5,2026-09-04 11:53:18,Dola memang sahabat terbaik tanpa bermuka dua,Positif
Pengguna Google,5,2026-09-04 11:50:47,Sangat membantu terima kasih banyak dola,Positif
Pengguna Google,4,2026-09-04 11:41:26,sangat bagus,Positif
Pengguna Google,5,2026-09-04 11:38:28,Bagus,Positif
Pengguna Google,1,2026-09-04 11:35:33,aku tanya nya termometer kok malah batang pengaduk,Netral
Pengguna Google,5,2026-09-04 11:33:27,sangat mebantu,Netral
Pengguna Google,5,2026-09-04 11:32:31,SENGAT LAH BERGUNA,Positif
Pengguna Google,5,2026-09-04 11:32:15,aplikasi hebat,Positif
Pengguna Google,5,2026-09-04 11:31:53,Apk nya bagus sekali no minus minus dan apk nya juga bisa membantu,Positif
Pengguna Google,5,2026-09-04 11:28:39,saya sukaa banget smaa apk ini apk ini bisa membantu saya mengerjakan tugas dengan baik,Positif
Pengguna Google,3,2026-09-04 11:28:01,tiga bintang aja lahcukup buat neng dola,Netral
Pengguna Google,5,2026-09-04 11:27:18,jozzzzzz,Netral
Pengguna Google,4,2026-09-04 11:27:13,oke sih tapi ada yg kurang jelas gitu penjelasannya,Positif
Pengguna Google,5,2026-09-04 11:23:46,mantap untuk mengubah dan memperbaiki kualitas gambar tidak di ragukan terus pertahankan dan tingkatkan,Positif
Pengguna Google,5,2026-09-04 11:20:59,hasil cukup puas,Positif
Pengguna Google,5,2026-09-04 11:13:49,aku suka diola iloveyou dola,Positif
Pengguna Google,5,2026-09-04 11:12:40,aku sangat senang dengan aplikasi ini,Positif
Pengguna Google,5,2026-09-04 11:12:37,bagus efektif,Positif
Pengguna Google,5,2026-09-04 11:12:10,bintang sepulu udah masuk dol,Netral
Pengguna Google,5,2026-09-04 11:09:46,saya sangat menyukai nya,Netral
Pengguna Google,5,2026-09-04 11:08:40,gua kalo nyontek ke doal,Netral
Pengguna Google,5,2026-09-04 11:08:06,nice dola,Netral
Pengguna Google,5,2026-09-04 11:05:36,aku suka dola,Positif
Pengguna Google,4,2026-09-04 11:02:40,kurang dikit soalnya GK bisa kirim vidio tapi bagus banget,Positif
Pengguna Google,4,2026-09-04 11:02:00,apk ny bgs,Netral
Pengguna Google,3,2026-09-04 10:55:55,baguss buat diskusi cuman dia enggak pintar sepenuhnyaa saya harus memperbaiki dan teliti jugak jawabanya enggak benar jawabanya,Netral
Pengguna Google,1,2026-09-04 10:46:48,Heh jangan sombong dola dasar dola bangsat,Netral
Pengguna Google,2,2026-09-04 10:46:46,mba Eka,Netral
Pengguna Google,5,2026-09-04 10:46:34,ai mantap bet,Positif
Pengguna Google,5,2026-09-04 10:45:31,lumayan membantu,Positif
Pengguna Google,5,2026-09-04 10:42:25,ini sangat seru bener aku suka dolar bonekaku juga sama Dola terima kasih adalah tentang kamu aku bisa tahu jawaban bahasa indonesiainggris dan semuanya aku kasih nilai ya atau juta nggak papa ya terima kasih untuk Dola dan untuk semua orang yang dibikin bola bentuk mukanya pindah pelajarin lebih lanjut jangan lupa belajar bola ya aku juga untuk belajar dan pikiranku biarin tidak pusing tidak thank ytidak tidak pintar dulu sangat lembut seperti malaikat aku sayang dulu aku juga sayang b,Positif
Pengguna Google,5,2026-09-04 10:35:30,sangat baik dan bagus apknya,Positif
Pengguna Google,5,2026-09-04 10:34:00,perfect,Netral
Pengguna Google,5,2026-09-04 10:31:49,terbaik nih paling pas buat belajar bahasa Inggris,Positif
Pengguna Google,5,2026-09-04 10:24:30,sangat puas dengan respon yang cepat dan bagus,Positif
Pengguna Google,4,2026-09-04 10:22:36,dolaa aplikasinya baguss bangttt tapii kaloo bisaa dikembangkan lagiii agarr informasi yang dihasilkan lebih relevan dan fiturr² terbaru yg lebih membantu,Positif
Pengguna Google,5,2026-09-04 10:14:45,membantu sekali,Positif
Pengguna Google,5,2026-09-04 10:08:04,untuk sekarang pass,Netral
Pengguna Google,5,2026-09-04 10:06:12,dola memang bagus tapi semakin lama kok gak bagus,Netral
Pengguna Google,5,2026-09-04 10:02:20,sungguh aku sangat senang sekali dengan aplikasi ini woww amazing,Positif
Pengguna Google,4,2026-09-04 10:01:59,bagus tapi kalo jawaban mtk kurang bagus,Netral
Pengguna Google,5,2026-09-04 09:59:41,raka,Netral
Pengguna Google,5,2026-09-04 09:47:38,Dora itu aplikasi yang seru menarik dia bisa mengerjakan rumah dan membuatkan ide yang bagus,Positif
Pengguna Google,5,2026-09-04 09:42:54,sangat bagusss Saya senang dengan ADA nya dola,Positif
Pengguna Google,5,2026-09-04 09:38:46,sangat membantu sekali,Positif
Pengguna Google,4,2026-09-04 09:36:49,lumayan,Netral
Pengguna Google,5,2026-09-04 09:36:30,seruuu banget,Netral
Pengguna Google,5,2026-09-04 09:36:25,Dola memang yang terbaik,Positif
Pengguna Google,5,2026-09-04 09:34:44,seru banget,Netral
Pengguna Google,5,2026-09-04 09:32:20,Sungguh bagus banget sumpah,Positif
Pengguna Google,5,2026-09-04 09:29:11,mantap sekali,Positif
Pengguna Google,3,2026-09-04 09:21:13,bisa bercerita tentang seorang baik sejarah ilmuan,Positif
Pengguna Google,5,2026-09-04 09:18:08,keren dola,Positif
Pengguna Google,5,2026-09-04 09:02:59,selalu mendengarkan dengan baik saat ingin bercerita tapi jangan tanya pr pasti salah,Positif
Pengguna Google,5,2026-09-04 08:56:25,ini lah Dola favorit ku karena Dola bisa membantu aku terimakasih dola,Positif
Pengguna Google,5,2026-09-04 08:55:02,wah oke oke aja sih tapi cerdik banget dola nya,Positif
Pengguna Google,5,2026-09-04 08:53:28,bagus bangat,Positif
Pengguna Google,5,2026-09-04 08:47:21,mantap,Positif
Pengguna Google,5,2026-09-04 08:44:22,bagus banget ai ini mau dijadiin pembantu,Positif
Pengguna Google,5,2026-09-04 08:43:57,gw suka ngomong sama si bro,Positif
Pengguna Google,5,2026-09-04 08:39:05,enak banget Dolah bisa nelpon gratis,Netral
Pengguna Google,1,2026-09-04 08:34:32,APLIKASI TIDAK JELAS BIKIN POSTER AJA SUSAH HADEHH,Negatif
Pengguna Google,5,2026-09-04 08:29:58,walaupun Agak bego Tapi dia cerdas banget,Netral
Pengguna Google,5,2026-09-04 08:18:00,good babbyy,Netral
Pengguna Google,5,2026-09-04 08:15:48,kamu sangat guna buat saya,Netral
Pengguna Google,5,2026-09-04 08:15:04,dola kamu suaranya cantik banget,Netral
Pengguna Google,5,2026-09-04 08:14:12,aplikasi dola ai emang terbaik dari ai ai lain dola yang paling best tanpa iklan tanpa di bayar saya suka aplikasi ini,Positif
Pengguna Google,5,2026-09-04 08:13:40,aplikasi Dola ini bagus karena bisa membantu saya bikin tugas sekolah dan yang lainnya,Positif
Pengguna Google,4,2026-09-04 08:11:25,bagus banget,Positif
Pengguna Google,5,2026-09-04 08:03:01,ummm yaaaa ndakkk tauuuu ko tanyaaaa sayaaaaa orang saya manusia biasa makan nasiiii,Netral
Pengguna Google,5,2026-09-04 07:57:12,mantaaaaap betul,Netral
Pengguna Google,1,2026-09-04 07:43:27,hampir semua jawaban salah,Netral
Pengguna Google,5,2026-09-04 07:42:57,menyampaikan info dengan helas lengkap tanpa harus mencari dri nara sumber yang lain,Netral
Pengguna Google,5,2026-09-04 07:41:00,Respon bagus,Positif
Pengguna Google,1,2026-09-04 07:39:51,hasil edit jauh tidak sesuai terlalu banyak melakukan kesalahan terlalu banyak larangan dan aturan burik celleng,Netral
Pengguna Google,1,2026-09-04 07:32:28,gj edit foto yg disuruh apa yg di edit apa,Netral
Pengguna Google,5,2026-09-04 07:26:57,sempurna,Positif
