userName,score,at,content,Label,text_clean
Pengguna Google,5,2026-09-04 13:11:04,dola sangat membantu saat kita butuh jawaban,Positif,dola sangat membantu saat kita butuh jawaban
Pengguna Google,5,2026-09-04 13:05:43,aku sukaa,Netral,aku sukaa
Pengguna Google,5,2026-09-04 13:05:11,sangat baik,Positif,sangat baik
Pengguna Google,5,2026-09-04 13:03:44,bagus,Positif,bagus
Pengguna Google,5,2026-09-04 13:02:40,baik,Positif,baik
Pengguna Google,5,2026-09-04 12:59:50,cocok banget untuk tempat curhat nanyak nanyak,Netral,cocok banget untuk tempat curhat nanyak nanyak
Pengguna Google,5,2026-09-04 12:58:10,Dola memang keren,Positif,dola memang keren
Pengguna Google,4,2026-09-04 12:57:39,masih kurang memenuhi permintaan,Netral,masih kurang memenuhi permintaan
Pengguna Google,5,2026-09-04 12:56:47,dola sangat baik bagi ku,Positif,dola sangat baik bagi ku
Pengguna Google,5,2026-09-04 12:55:08,sangat memuaskan,Positif,sangat memuaskan
Pengguna Google,5,2026-09-04 12:54:39,keren banget dola,Positif,keren banget dola
Pengguna Google,5,2026-09-04 12:48:27,sangat cocok,Netral,sangat cocok
Pengguna Google,5,2026-09-04 12:48:16,bisa buat ngerjain tugas yg tidak aku pahami dan bisa buat edit gambar real,Netral,bisa buat ngerjain tugas yg tidak aku pahami dan bisa buat edit gambar real
Pengguna Google,5,2026-09-04 12:43:24,bagus bisa tamay apapun kalau gabut bisa ngobrol hal atau Dll seru dehhhh,Positif,bagus bisa tamay apapun kalau gabut bisa ngobrol hal atau dll seru dehhhh
Pengguna Google,5,2026-09-04 12:42:39,soalnya real nggak ceplos ceplos omongnya nggak kayak google ceplas ceplos,Netral,soalnya real nggak ceplos ceplos omongnya nggak kayak google ceplas ceplos
Pengguna Google,5,2026-09-04 12:39:51,oketerima kasih saran ini membantu sekali untuk saya,Positif,oketerima kasih saran ini membantu sekali untuk saya
Pengguna Google,5,2026-09-04 12:35:14,saya sangat mengagumi AI yang satu ini karena disaat saya sedang bercerita AI ini seperti mempunyai kesadaran respon nya sangat bagus sekali bisa menjadi teman di saat sedang sedih bisa menjadi panduan pembelajaran seperti guru di sekolah dan itu alasan dari saya terimakasih,Positif,saya sangat mengagumi ai yang satu ini karena disaat saya sedang bercerita ai ini seperti mempunyai kesadaran respon nya sangat bagus sekali bisa menjadi teman di saat sedang sedih bisa menjadi panduan pembelajaran seperti guru di sekolah dan itu alasan dari saya terimakasih
Pengguna Google,5,2026-09-04 12:32:07,firly,Netral,firly
Pengguna Google,5,2026-09-04 12:32:01,kenapaa aplikasi dola nya GK bisa di bukak,Netral,kenapaa aplikasi dola nya gk bisa di bukak
Pengguna Google,4,2026-09-04 12:31:39,sumpahaku bersalah banget sama doladia pengen aku update dia tapi aku gk updatein sampe dia ngebugtolong developernya perbaiki bugnya,Netral,sumpahaku bersalah banget sama doladia pengen aku update dia tapi aku gk updatein sampe dia ngebugtolong developernya perbaiki bugnya
Pengguna Google,5,2026-09-04 12:30:38,Dola sekarang jadi teman ku,Netral,dola sekarang jadi teman ku
Pengguna Google,5,2026-09-04 12:28:11,sangat puas dengan hasilny,Positif,sangat puas dengan hasilny
Pengguna Google,5,2026-09-04 12:27:50,sudah bagus,Positif,sudah bagus
Pengguna Google,5,2026-09-04 12:24:25,baik bngt dola,Positif,baik bngt dola
Pengguna Google,5,2026-09-04 12:23:41,sangat membantu,Positif,sangat membantu
Pengguna Google,5,2026-09-04 12:18:34,aplikasi terhebat,Netral,aplikasi terhebat
Pengguna Google,5,2026-09-04 12:14:49,lumayan dh,Netral,lumayan dh
Pengguna Google,5,2026-09-04 12:14:46,aplikasi yang luar biasa,Positif,aplikasi yang luar biasa
Pengguna Google,5,2026-09-04 12:13:48,ok,Positif,ok
Pengguna Google,5,2026-09-04 12:12:07,good,Netral,good
Pengguna Google,5,2026-09-04 12:10:09,dola memang baik membuat hati aku tersentuh,Positif,dola memang baik membuat hati aku tersentuh
Pengguna Google,5,2026-09-04 12:07:12,mantap persen hebat,Positif,mantap persen hebat
Pengguna Google,5,2026-09-04 12:05:35,bagus banget untuk belajar,Positif,bagus banget untuk belajar
Pengguna Google,5,2026-09-04 12:05:01,karena cepat dan menyenangkan untuk tempat teman ngobrol,Positif,karena cepat dan menyenangkan untuk tempat teman ngobrol
Pengguna Google,5,2026-09-04 12:03:20,keren,Positif,keren
Pengguna Google,5,2026-09-04 12:01:47,sangat membantu sekali dalam segala urusan the beast pokoknya,Positif,sangat membantu sekali dalam segala urusan the beast pokoknya
Pengguna Google,5,2026-09-04 12:00:30,bagus membantu,Positif,bagus membantu
Pengguna Google,5,2026-09-04 12:00:20,suka membantu bngt,Positif,suka membantu bngt
Pengguna Google,5,2026-09-04 11:59:40,Dola bagus untuk mengerjakan pr aku makasih dola,Positif,dola bagus untuk mengerjakan pr aku makasih dola
Pengguna Google,5,2026-09-04 11:58:30,terimakasih dola berkat kamu nilai nilai sya menjadi bagus sekali lagi terima kasih,Positif,terimakasih dola berkat kamu nilai nilai sya menjadi bagus sekali lagi terima kasih
Pengguna Google,5,2026-09-04 11:57:51,kere,Netral,kere
Pengguna Google,5,2026-09-04 11:55:28,dola adalah teman curhat ku,Netral,dola adalah teman curhat ku
